entity,number
结节,73
息肉,58
肺结节,20
胀痛,2
便秘,38
无力,5
咽炎,3
百合,1
癌症,107
消化不良,4
胃炎,13
烧心,8
打嗝,4
呃逆,1
胆结石,3
结石,24
高脂血症,2
乳腺结节,4
胃病,11
疲劳,4
胃癌,38
脾虚,2
胆囊息肉,5
嗳气,1
胃息肉,6
腹泻,10
胃痛,5
反酸,8
声带息肉,1
高血压,66
胆囊炎,4
肠炎,2
失眠,16
疲乏,2
囊肿,10
咳嗽,37
乏力,4
心慌,4
积聚,1
痰多,2
口苦,2
伤寒,1
瘙痒,6
感冒,42
胃下垂,1
乳腺增生,4
手脚发热,1
甲亢,2
胰腺癌,7
腺癌,21
乳腺癌,7
抑郁,15
抑郁症,10
痛风,53
啤酒,10
骨质疏松,8
烧伤,1
烫伤,3
口干,2
口渴,1
老年便秘,1
肝炎,5
过劳,1
近视,14
上吐下泻,2
老年痴呆,9
痴呆,12
慢性病,10
性病,13
网球肘,1
湿疹,4
脱水,1

扭伤,1
视物模糊,2
干眼,3
腹痛,3
胰腺炎,4
癫痫,2
巨大儿,1
肥胖,6
麻风,1
脑梗死,4
肝损伤,5
热射病,2
中暑,3
脂肪肝,10
猴痘,9
发炎,1
牙龈炎,1
白内障,3
皮肤病,8
口腔溃疡,6
溃疡,12
红斑,4
红斑狼疮,4
贫血,13
遗传病,3
冻伤,5
皮肤癌,1
哮喘,10
疟疾,2
肺癌,29
肺结核,3
结核病,4
血尿,2
膀胱癌,2
肿瘤,31
骨质增生,1
肠癌,25
灰指甲,1
帕金森病,4
休克,2
关节炎,4
鼻塞,3
流鼻涕,5
关节痛,4
慢性肝病,1
肝病,10
青光眼,3
带状疱疹,3
疱疹,3
耳鸣,1
听力下降,1
发烧,13
甲流,15
猝死,28
呕吐,4
眼干,1
便血,1
心肌炎,4
肝硬化,6
硬化,11
分娩,3
盲点,1
脱发,7
风寒,2
肺炎,54
手足口病,4
艾滋病,10
糖尿,54
糖尿病,54
营养不良,5
血压高,8
中风,28
静脉血栓,2
低血压,3
黄疸,1
眩晕,1
颈椎病,2
耳石症,1
狂犬病,2
流鼻血,1
骨折,3
磨牙,1
煤气中毒,1
学习困难,1
骨关节炎,2
打喷嚏,2
孤独症,1
肾结石,9
老来瘦,1
驼背,2
瘫痪,5
脑膜炎,1
手脚冰凉,3
鱼肉,1
冰糖,1
梨,1
子满,2
发育迟缓,2
口齿不清,1
颅脑损伤,1
胎记,1
阑尾炎,1
药物过敏,1
鼻炎,8
开塞露,1
乙肝,13
肾炎,1
鸡,16
高血脂,11
咳痰,5
痔,9
痔疮,5
胸闷,3
心律失常,4
肾虚,3
健忘,1
血虚,1
气血不足,1
阴道炎,2
鸡蛋,12
阳虚,3
冠心病,13
肠胃炎,1
牙周炎,1
甲状腺癌,5
心肌病,1
红皮病,1
银屑病,1
妇科疾病,3
盆腔积液,1
不孕不育,3
绝经,18
痛经,4
卵巢早衰,2
腹胀,2
子宫肌瘤,5
多囊卵巢,3
卵巢囊肿,3
排卵障碍,1
胸闷气短,1
气短,1
月经不调,1
外阴瘙痒,1
闭经,5
月经稀少,1
妇科炎症,1
牛奶,5
肝癌,58
肿胀,1
乳腺炎,1
喉咙痛,1
腰椎病,1
流产,1
宫颈炎,1
隐睾,1
腰痛,3
香蕉,2
蜂蜜,6
远视,1
剧痛,2
心脏畸形,1
面瘫,1
白血病,3
腰酸,2
腰背痛,1
背痛,3
蛋白尿,5
黑便,1
口臭,4
鼻息肉,1
关节疼痛,1
恶性肿瘤,4
头晕,5
心力衰竭,2
低血糖,5
鼻咽癌,4
白发,4
肝火,2
肾病,24
豆浆,9
恶心,1
牙病,1
乳腺疾病,1
淋病,1
嗜睡,1
打呼噜,3
糖尿病足,2
口腔癌,5
子宫脱垂,1
迎风流泪,1
流泪,1
肝囊肿,2
食管癌,7
血管堵塞,4
前列腺炎,4
风热感冒,1
脑缺血,1
肩痛,3
脸红,15
鼻毛变白,1
老年病,1
秃顶,1
脑出血,25
脓包,2
老年斑,2
妇科病,1
肺栓塞,2
头痛,5
大蒜,2
肝衰竭,2
心脏病,11
抽筋,3
手脚发麻,1
尿频,3
尿急,3
豆腐,3
尿毒症,44
脚气,2
脚气病,1
脂肪瘤,1
脂肪肉瘤,1
肉瘤,1
尿分叉,1
近视眼,1
尿糖,1
花生,8
口角炎,1
肾移植,3
男性不育,1
心脏疾病,1
牙结石,2
口腔出血,1
牙龈出血,1
早泄,2
苹果,1
菜花,1
疣,3
宫颈癌,6
尖锐湿疣,2
湿疣,2
早饱,1
鼻痒,1
牙痛,1
气急,2
性冷淡,2
肝内钙化,1
钙化,1
钙化灶,1
胸痛,2
小龙虾,2
龙虾,2
肾衰竭,5
细菌感染,2
营养师,10
海参,1
热痛,1
高钾血症,1
盆腔炎,1
肾囊肿,1
恐惧,1
支气管炎,1
手麻,3
尿蛋白,2
水肿,4
反复感染,3
四肢抽搐,1
抽搐,1
口吐白沫,1
职业病,1
静脉曲张,2
食管炎,1
白酒,9
动脉硬化,1
啤酒肚,2
胆囊结石,2
脊椎病,1
尿路感染,4
非典,4
腋臭,1
肛肠疾病,1
黄褐斑,1
痛风石,1
痤疮,3
冻疮,1
体重增加,1
皮炎,1
多梦,1
毛囊炎,1
叶酸片,1
多囊肾,1
夜尿增多,1
血管病,4
包皮过长,1
口干舌燥,1
失水,1
挖鼻孔,1
偏头痛,1
麦粒肿,1
大肠癌,1
自闭症,2
闭症,2
咖啡,7
多动症,1
胆管结石,1
脑血管病,2
荨麻疹,2
麻疹,2
药疹,1
呼吸衰竭,1
卵巢癌,1
慢性咽炎,1
心脏骤停,1
植物人,1
心跳加快,1
肌肉酸痛,1
肾阳虚,1
肾阴虚,1
阴虚,1
偏瘫,3
霍乱,1
瘀血,1
血压下降,2
胆管癌,2
西兰花,1
昏睡,1
耳聋,1
春笋,1
胃出血,2
急支糖浆,1
昏迷,1
血管硬化,2
口吃,1
胃溃疡,2
前列腺癌,1
肩周炎,1
血热,1
肺病,1
咸鱼,2
血栓形成,1
多尿,3
银杏叶片,1
血糖升高,1
咽喉炎,2
喉炎,2
直肠癌,1
类癌,1
黑色素瘤,1
西瓜,1
会厌炎,1
虚火,1
大便干燥,1
山药,1
智力低下,1
火腿,1
香肠,1
腰肌劳损,1
血压病,3
噩梦,1
打鼾,1
温热,1
柿子,3
醉酒,1
心火,1
脑血栓,1
螃蟹,1
结肠癌,1
香菜,1
食物中毒,1
姜,2